	0
Beak	0.2
Beescratch	-0.19512195121951215
Bumper	0.3217391304347827
CCL	-0.0217391304347826
Cross	0.3714285714285714
DN16	0.054545454545454494
DN21	0.27272727272727276
DN63	0.1454545454545455
Double	0.1765432098765433
Feather	0.2545454545454546
Fish	0.03985507246376807
Five	0.3714285714285714
Fork	0.23043478260869574
Gallatin	0.32727272727272727
Grin	0.308300395256917
Haecksel	0.30666666666666664
Hook	0.25217391304347825
Jet	0.20454545454545459
Jonah	0.3587878787878787
Knit	0.12727272727272734
Kringel	-0.21590909090909094
MN105	0.27672955974842767
MN23	0.16666666666666666
MN60	-0.19642857142857145
MN83	0.3587878787878787
Mus	0.24242424242424235
Notch	-0.035087719298245584
Number1	0.21818181818181817
Oscar	-0.05172413793103444
Patchback	0.2946666666666666
PL	0.03141711229946514
Quasi	0.16666666666666666
Ripplefluke	0.2987012987012987
Scabs	0.29192546583850937
Shmuddel	0.23478260869565215
SMN5	0.24383561643835616
SN100	0.7745098039215687
SN4	-0.15853658536585363
SN63	0.30434782608695654
SN89	0.8070175438596491
SN9	-0.23333333333333334
SN90	0.022727272727272707
SN96	0.17285259809119838
Stripes	0.23602484472049698
Thumper	0.21739130434782608
Topless	0.4604938271604939
TR120	0.23043478260869574
TR77	0.04347826086956523
TR82	-0.05172413793103444
TR88	0.24223602484472057
TR99	0.010494752623688134
Trigger	0.4666666666666667
TSN103	0.08695652173913043
TSN83	0.25652173913043486
Upbang	0.11363636363636365
Vau	0.4299145299145299
Wave	0.24675324675324678
Web	-0.13157894736842107
Whitetip	0.24223602484472057
Zap	-0.16666666666666669
Zig	0.2525252525252525
Zipfel	0.09565217391304355
